nombre_producto,precio,disponibilidad,url,fecha_consulta
"FEIDUSUN Sunglasses Men Polarized Sunglasses for Mens and Womens,Black Retro Sun Glasses Driving Fishing UV Protection",8.49,In Stock,https://www.amazon.com/FEIDUSUN-Sunglasses-Polarized-Glasses-Protection/dp/B0BKSKCYX7/ref=sr_1_2,2025-03-27 18:49:36
"Natural Nicotine-Free & Tobacco-Free Smoking Alternative (Variety Pack) - Non-Electric Craving Relief, Quit Smoking Aid with Cigtrus (Assorted Flavors)",25.99,In Stock,https://www.amazon.com/Cigtrus-Smokeless-Air-Inhaler-Nicotine-Free/dp/B0CXX5J8H5/ref=sr_1_1,2025-03-27 18:51:29
