nombre_producto,precio,disponibilidad,url,fecha_consulta
Moto Honda Xr 150,6500000.0,Verificar disponibilidad manualmente,https://moto.mercadolibre.com.co/MCO-2853198022-moto-honda-xr-150-_JM,2025-04-21 14:40:21
Honda Xr 150 Modelo 2020,8000000.0,Verificar disponibilidad manualmente,https://moto.mercadolibre.com.co/MCO-1564719309-honda-xr-150-modelo-2020-_JM,2025-04-21 14:40:37
