nombre_producto,precio,disponibilidad,url,fecha_consulta
Pintura Alta Temperatura En Aerosol 400ml Waltek Color Negro,19.9,Verificar disponibilidad manualmente,https://www.mercadolibre.com.co/pintura-alta-temperatura-en-aerosol-400ml-waltek-color-negro/p/MCO38036957,2025-03-31 22:35:30
Cubierta Del Piñón Delantero Del Motor Ybr125 Xtz125,31.36,Verificar disponibilidad manualmente,https://www.mercadolibre.com.co/cubierta-del-pinon-delantero-del-motor-ybr125-xtz125/p/MCO2005634767#polycard_client=search-nordic&searchVariation=MCO2005634767&position=4&search_layout=stack&type=product&tracking_id=d9a672a2-0b9c-4d87-9a49-12c328c53690&wid=MCO1526601851&sid=search,2025-03-31 22:36:16
